"","filename","X","Y","HitOrder","SPP","STATUS","TISSUE","CanopyHeight.mm.","Extra.sp","SITE","PLOT","TRTMT","Observer","DATE","TOMST","Flag","Flag.1","SPP_sub"
"148","SAL_1C.csv",30,70,"Bottom","other","","","","","Salix","1","control","joanna","sept 25 2022","","","","other"
"149","SAL_1C.csv",40,70,"Top","salbar","live","leaf","30","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"150","SAL_1C.csv",40,70,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"151","SAL_1C.csv",50,70,"Top","caraur","live","leaf","6","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"152","SAL_1C.csv",50,70,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"153","SAL_1C.csv",60,70,"Top","carspp","live","leaf","5.5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"154","SAL_1C.csv",60,70,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"155","SAL_1C.csv",70,70,"Top","other","","","","","Salix","1","control","joanna","sept 25 2022","","","","other"
"156","SAL_1C.csv",70,70,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"157","SAL_1C.csv",80,70,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"158","SAL_1C.csv",80,70,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"159","SAL_1C.csv",90,70,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"160","SAL_1C.csv",90,70,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"161","SAL_1C.csv",0,80,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"162","SAL_1C.csv",0,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"163","SAL_1C.csv",10,80,"Top","equvar","live","stem","10","","Salix","1","control","joanna","sept 25 2022","","","","equvar"
"164","SAL_1C.csv",10,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"165","SAL_1C.csv",20,80,"Top","caraur","standing_dead","leaf","10","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"166","SAL_1C.csv",20,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"167","SAL_1C.csv",30,80,"Top","carspp","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"168","SAL_1C.csv",30,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"169","SAL_1C.csv",40,80,"Top","triglu","standing_dead","flower_stem","5","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"170","SAL_1C.csv",40,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"171","SAL_1C.csv",50,80,"Top","salbar","live","leaf","23","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"172","SAL_1C.csv",50,80,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"173","SAL_1C.csv",60,80,"Top","litter","","","0.5","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"174","SAL_1C.csv",60,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"175","SAL_1C.csv",70,80,"Top","caraur","live","leaf","4","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"176","SAL_1C.csv",70,80,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"177","SAL_1C.csv",80,80,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"178","SAL_1C.csv",80,80,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"179","SAL_1C.csv",90,80,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"180","SAL_1C.csv",90,80,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"181","SAL_1C.csv",0,90,"Top","triglu","standing_dead","flower_stem","12","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"182","SAL_1C.csv",0,90,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"183","SAL_1C.csv",10,90,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"184","SAL_1C.csv",10,90,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"185","SAL_1C.csv",20,90,"Top","litter","","","0.5","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"186","SAL_1C.csv",20,90,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"187","SAL_1C.csv",30,90,"Top","caraur","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"188","SAL_1C.csv",30,90,"Bottom","rock","","","","","Salix","1","control","joanna","sept 25 2022","","","","rock"
"189","SAL_1C.csv",40,90,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"190","SAL_1C.csv",40,90,"Bottom","rock","","","","","Salix","1","control","joanna","sept 25 2022","","","","rock"
"191","SAL_1C.csv",50,90,"Top","caraur","live","leaf","10","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"192","SAL_1C.csv",50,90,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"193","SAL_1C.csv",60,90,"Top","litter","","","0.5","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"194","SAL_1C.csv",60,90,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"195","SAL_1C.csv",70,90,"Top","caraur","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"196","SAL_1C.csv",70,90,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"197","SAL_1C.csv",80,90,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"198","SAL_1C.csv",80,90,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"199","SAL_1C.csv",90,90,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
